Protein ID,Concatenated GO Annotations
Q9BSQ5,0061154000157000075070005515000573700055150005515000551500055150005515000551500055150005515000551500055150005515000551500055150001568000157000017010001885000194400329910007507
P51531,0008094000563400036770045944000828500055150005515000551500715640071565014065800423930005524000563400063550005524001678700056340004386000016600073990003677000635500063570005654
P12830,0030336000550900009020016339001634200070430005912004529600074160044331003433200300540005886003005400104680005515000551500327940005509001602000058860098609000715500071560070161
Q12879,0098976000742000481671904646000497200171460097202000154000970600014069000998619043150004972001714600988390005886006007900602910035249001714600228490005886000588600975530022849
P31946,0007165000573700457440005515000551500055150005515000551500055150005515000551500055150005515000573700057730016020000582900058290005829000582900058290005829000582900058290005829
P19174,0032587000462900057370005886000443500106340048015005120900435360045766000172600300270071364001063400051680005515000717300504290046488000550900080810006629000716500044350009395
P42702,0019221000492300082840019221000489600049240005127004323500199550009897000828400048960016020000557600160200005886000492300058860007166000588600058860005886000588600058860005886
P56192,0005524000481200168740006412000573700056340000049000016600037230004825000482500048250006418000582900058290005829000582900058290005829000582900058290005829000582900057300005829
Q16514,0140297003327600063520006367000563400001240016251000367700037130003713004594400510910140297000551500055150005515000551500055150043229000566900056690017025000566900036770051123
P29353,0007173000588600309710008286007136300051680005515000551500055150005515004687500355560001525007016100057370005739000506800071730007176000828400058290005829000582900058290005829
P60880,0005737000585600160790031201004273400483060031201003042600430050005484001707500160820070032000688700058860031629003108300055150008076000573700160200005249001707500001490005737
P04049,0005737000588600057940004674000582900057392000145004298100431540045595003502300420600005515000551500055150005515000551500055150005515000551500055150005515000573700055240004672
P09874,0002376000628100056940005737000563400069150006974004687200081520003677000382400450870006281000636600056340003677000395000039500000122000565400056540005654000565400056540005654
P19447,0043138000636700975500000112000567500485680035315000636600056690005675000552400167870006289000636700036780003677000552400167870006281000563400069740004386000016600036770043138
Q13416,0000792000581300056640003688000080800056640005664000551500062600005634000080800062600005634000012200062700005634000368800056540005654000565400056540005654000565400056540005654
P56524,0060090000078500603370000122000440700001220000122000012200709330006476000097800400290005515000551500055150005515000551500001220016575000632500001180004407001678700063250005737
Q96QK1,0016055003090400309040030906003090600996390005739009907300057690005769001000800106280051246006016100421470042147001624100309040030904190121500108210050728005124600605480045732
P52298,0000398000584600003390000184001706900058450006446000573700056540000340000034000037290045292000018400001840005515000551500055150005515000551500058460003676004529200001840006397
Q9UPY3,0038061001062900106290035196003519600327200006309000573700056340090501000452500045300003723003042200310540016442007057800705780048471003519600055150005515000551500055150005515
P21802,0005007000828400082840008284000828400082840008284000828400082840008284000854300085430008543000854300085430008543000854300085430008543001713400085430017134000500700432350007169
P60953,0005515003646400600710044788000552500039240005525000689700071630043197009956300039240030036003248800726860051233003049600160201900026005148900069110007015004519800343290051988
Q8NFZ5,0006357007122200431230034134003413820003520019901003159300431230045944007049800712220043032005082100508710023035003413400341380034162007053000057370005634000691500069540046872
Q9H211,0005634000007600002780005634007018200036770071163003017400513150005515000551500055150003677007116300301740006260000569400056340000776000077500070490051301000565400056540005654
Q12931,0009386000573919034270061077001990100057581903751000645700199010051082000574300057590005743190185600055150005515014066200055240016887000645700510820005524000573900057430016020
