src_id,dst_id
P49450,Q8WWI1
Q8NCD3,Q09028
Q15154,Q96R06
Q15154,Q9UPN4
P42568,P51825
P42568,Q6W2J9
Q6IAA8,Q9Y2Q5
O15105,Q9HCE7
Q15797,P17844
P62136,Q99459
O94776,Q8WXI9
Q09028,O75530
Q7L5N1,Q99627
Q7L5N1,Q9UBW8
Q7L5N1,Q9UNS2
Q7L5N1,Q13098
Q7L5N1,P61201
Q7L5N1,Q9BT78
Q7L5N1,Q92905
Q99627,Q92905
Q99627,Q9UNS2
Q99627,Q13098
Q99627,P61201
Q99627,Q9BT78
Q99627,Q9UBW8
Q9UBW8,Q92905
Q9UBW8,Q9UNS2
Q9UNS2,Q92905
Q9UNS2,P61201
Q9UNS2,Q13098
Q9UNS2,Q9BT78
Q13098,Q92905
P61201,Q92905
Q9BT78,Q92905
Q8TAF3,O94782
Q9UJX5,Q9UJX4
Q9UJX5,Q9UJX2
Q9UJX5,Q9H1A4
Q9UJX5,Q9UM13
Q9UJX5,Q9UJX3
Q9Y2Q5,P61421
Q9Y2Q5,Q0VGL1
Q9Y2Q5,O43504
Q9Y2Q5,P21281
P11388,Q08050
O75530,Q6ZN18
O75530,P63244
Q9HCE1,Q9NZI8
Q9HCE1,Q06587
Q13263,Q9UPN9
Q13148,P22626
P60880,O14810
O43809,Q16630
P38159,P62995
P62995,Q13242
P20700,P02545
P20700,Q9UID3
Q96EP0,Q9BYM8
Q96EP0,Q9H0F6
Q9BYM8,Q9H0F6
Q01105,Q08722
Q8WUA4,Q9Y5Q8
Q8WUA4,Q12789
P40763,P49368
P17987,Q9NPJ1
P17987,Q6ZW61
P17987,Q8IWZ6
Q9H9F9,Q9ULG1
P13612,Q8IZP0
P52815,Q92552
P52815,Q7Z7H8
P52815,Q9BZE1
P52815,Q9BRJ2
P52815,P82664
Q15047,Q9H9B1
Q15047,Q9UK61
Q15047,Q99549
P60484,Q12959
P60484,P52732
Q2NKJ3,Q86WV5
Q2NKJ3,Q9H668
Q86WV5,Q9H668
O00422,Q9UKV3
Q6W2J9,Q9BSM1
Q676U5,Q8TDY2
Q2VPB7,Q9H0R1
Q2VPB7,Q9NUS5
Q9H0R1,Q9NUS5
Q15046,P08865
Q8TAM1,Q6ZW61
Q8TAM1,Q8IWZ6
Q8TAM1,Q3SYG4
Q8TAM1,Q9NPJ1
Q6ZW61,Q9NPJ1
Q6ZW61,Q8NFJ9
Q6ZW61,Q9BXC9
Q6ZW61,Q96RK4
Q6ZW61,Q8IWZ6
Q6ZW61,Q3SYG4
Q6ZW61,P49368
Q6ZW61,P48643
Q6ZW61,P78371
Q6ZW61,P50991
Q6ZW61,P50990
Q9BXC9,Q9NPJ1
Q9BXC9,Q8IWZ6
Q9BXC9,Q8N3I7
Q9BXC9,Q3SYG4
Q9NPJ1,Q8IWZ6
Q9NPJ1,P49368
Q9NPJ1,P48643
Q9NPJ1,P78371
Q9NPJ1,P50991
Q9NPJ1,P50990
Q8IWZ6,Q8N3I7
Q8IWZ6,Q3SYG4
Q8IWZ6,P78371
Q8IWZ6,P49368
Q8IWZ6,P50991
Q8IWZ6,Q8NFJ9
Q8IWZ6,Q96RK4
Q8IWZ6,Q8TAM2
Q8NFJ9,Q8N3I7
Q8NFJ9,Q3SYG4
Q3SYG4,Q8N3I7
Q3SYG4,Q96RK4
P84090,Q9H0U6
Q96RK4,Q8N3I7
Q8N3I7,Q8TAM2
Q9H0U6,P60866
Q9H0U6,P46777
Q9H0U6,P23396
P22626,P14866
Q13131,O75385
Q8TDY2,O75385
Q9BTP7,Q8IYD8
O75379,Q9UID3
O75379,O43752
O75379,Q96JG6
Q9UID3,O43752
Q9UID3,Q8N1B4
Q9UID3,Q96AJ9
Q9UID3,Q96JG6
Q9UID3,Q5VIR6
Q9UID3,Q9P1Q0
O43752,Q96JG6
Q8N1B4,Q96JG6
Q8N1B4,Q5VIR6
Q8N1B4,Q9P1Q0
Q12830,O60264
Q96AJ9,Q96JG6
O75143,Q9BSB4
O75143,O75385
Q9BSB4,O75385
O75385,P42858
O75385,Q9Y478
O75385,P54619
P56192,O43324
O15270,Q969W0
O15270,Q8NFR3
Q9NUV7,Q969W0
Q9NUV7,Q8NFR3
P42858,Q14204
P42858,Q9NPB6
O60716,Q14247
Q96ST3,P51608
Q8IWT6,Q6NSJ5
Q8IWT6,Q6P9F7
Q8IWT6,Q8TDW0
Q8IWT6,Q7L1W4
Q9NR30,Q9H0D6
Q9NR30,Q9Y2X3
Q9NR30,O60832
O60306,Q9ULR0
O60306,Q9HCS7
O60306,Q9UNP9
Q9UNP9,Q15428
Q96JG6,Q5VIR6
Q96JG6,O14662
Q96JG6,Q86Y82
Q96JG6,Q15836
Q5VIR6,Q9P1Q0
Q9UK61,Q99549
Q9UK61,Q8NEY8
Q99549,Q8NEY8
Q6IA86,Q9H9T3
Q9NZU0,Q9HAR2
Q12959,P52732
Q96S15,Q9NXC5
P51608,Q9BZK7
O75140,Q8WTW4
O75140,Q12980
P12277,Q96DX5
